State,Date,Time,Cumulative case count,Cumulative deaths,,,,,,,,,,,,
SA,19/03/2020,17:00,42,,,,,,,,,,,,,
WA,19/03/2020,18:10,52,1,,,,,,,,,,,,
QLD,19/03/2020,,144,,,,,,,,,,,,,
VIC,19/03/2020,14:46,150,,,,,,,,,,,,,
NSW,19/03/2020,12:30,307,6,,,,,,,,,,,,
NSW,19/03/2020,,353,,,,,,,,,,,,,
NT,20/03/2020,14:00,2,,,,,,,,,,,,,
NT,20/03/2020,,3,,,,,,,,,,,,,
ACT,20/03/2020,15:38,6,,,,,,,,,,,,,
SA,20/03/2020,19:15,50,,,,,,,,,,,,,
WA,20/03/2020,,64,,,,,,,,,,,,,
VIC,20/03/2020,17:32,178,,,,,,,,,,,,,
QLD,20/03/2020,17:24,184,,,,,,,,,,,,,
NSW,20/03/2020,,382,,,,,,,,,,,,,
NSW,20/03/2020,13:28,436,,,,,,,,,,,,,
NT,21/03/2020,,5,,,,,,,,,,,,,
ACT,21/03/2020,11:19,9,,,,,,,,,,,,,
TAS,21/03/2020,12,16,,,,,,,,,,,,,
SA,21/03/2020,20:12,57,,,,,,,,,,,,,
WA,21/03/2020,17.35,90,,,,,,,,,,,,,
QLD,21/03/2020,,221,,,,,,,,,,,,,
QLD,21/03/2020,12:05,221,,,,,,,,,,,,,
VIC,21/03/2020,14.25,229,,,,,,,,,,,,,
NSW,21/03/2020,13:00,533,,,,,,,,,,,,,
ACT,22/03/2020,13:20,19,,,,,,,,,,,,,
TAS,22/03/2020,21:07,22,,,,,,,,,,,,,
SA,22/03/2020,20:45,100,,,,,,,,,,,,,
WA,22/03/2020,15:30,120,,,,,,,,,,,,,
QLD,22/03/2020,17:30,259,,,,,,,,,,,,,
VIC,22/03/2020,13:10,296,,,,,,,,,,,,,
NSW,22/03/2020,08:15,669,,,,,,,,,,,,,
TAS,23/03/2020,21:08,28,,,,,,,,,,,,,
ACT,23/03/2020,15:15,32,,,,,,,,,,,,,
SA,23/03/2020,15:00,134,,,,,,,,,,,,,
WA,23/03/2020,15:00,140,,,,,,,,,,,,,
QLD,23/03/2020,10:00,319,,,,,,,,,,,,,
VIC,23/03/2020,14:15,355,,,,,,,,,,,,,
NSW,23/03/2020,15:00,704,,,,,,,,,,,,,
NSW,23/03/2020,08:07,818,7,,,,,,,,,,,,
NT,24/03/2020,10:50,6,,,,,,,,,,,,,
ACT,24/03/2020,13:05,39,,,,,,,,,,,,,
SA,24/03/2020,17:36,170,,,,,,,,,,,,,
WA,24/03/2020,17:36,175,,,,,,,,,,,,,
QLD,24/03/2020,17:36,397,,,,,,,,,,,,,
VIC,24/03/2020,13:06,411,,,,,,,,,,,,,
NSW,24/03/2020,17:36,913,,,,,,,,,,,,,
NSW,24/03/2020,20:00,1029,,,,,,,,,,,,,
